Pokemon,Gender,Location,Version,Chance,Condition,Max Level,Min Level,Method,Evolves From
metapod,4,johto-route-30-area,heartgold,1,time-day,4,4,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,johto-route-31-area,gold,1,time-morning,5,5,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,johto-route-31-area,heartgold,1,time-day,5,5,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,ilex-forest-area,heartgold,5,time-day,5,5,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,national-park-area,gold,30,time-morning,10,10,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,national-park-area,heartgold,10,"time-day, radio-off",10,10,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-2-south-towards-viridian-city,gold,20,time-morning,5,5,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-2-south-towards-viridian-city,heartgold,10,"time-day, radio-off",5,5,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-24-area,blue,20,,8,8,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-24-area,crystal,20,time-morning,12,12,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-24-area,firered,1,,8,8,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-24-area,leafgreen,4,,8,8,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-25-area,red,4,,7,7,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-25-area,blue,20,,9,9,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-25-area,crystal,10,time-morning,12,12,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-25-area,firered,1,,9,9,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-25-area,leafgreen,4,,9,9,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,kanto-route-2-north-towards-pewter-city,heartgold,10,"time-morning, radio-off",5,5,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,viridian-forest-area,red,5,,4,4,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,viridian-forest-area,blue,10,,6,6,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,viridian-forest-area,yellow,5,,6,6,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,viridian-forest-area,firered,5,,5,5,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,viridian-forest-area,leafgreen,1,,6,6,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,viridian-forest-area,heartgold,10,"time-day, radio-off",5,5,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,pattern-bush-area,firered,5,,9,9,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,pattern-bush-area,leafgreen,5,,9,9,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,santalune-forest-area,y,4,,4,4,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
butterfree,4,kanto-route-2-south-towards-viridian-city,gold,10,time-morning,7,7,walk,"{'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon-species/11/'}"
butterfree,4,kanto-route-2-south-towards-viridian-city,crystal,10,time-morning,7,7,walk,"{'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon-species/11/'}"
butterfree,4,kanto-route-2-south-towards-viridian-city,heartgold,5,time-morning,8,8,walk,"{'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon-species/11/'}"
butterfree,4,kanto-route-24-area,crystal,1,time-morning,14,14,walk,"{'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon-species/11/'}"
butterfree,4,kanto-route-25-area,crystal,1,time-morning,14,14,walk,"{'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon-species/11/'}"
butterfree,4,kanto-route-2-north-towards-pewter-city,heartgold,5,time-day,8,8,walk,"{'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon-species/11/'}"
butterfree,4,viridian-forest-area,heartgold,5,time-morning,7,7,walk,"{'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon-species/11/'}"
weedle,4,eterna-forest-area,platinum,4,slot2-leafgreen,13,13,walk,
weedle,4,sinnoh-route-204-south-towards-jubilife-city,diamond,4,slot2-leafgreen,6,6,walk,
weedle,4,sinnoh-route-204-south-towards-jubilife-city,pearl,4,slot2-leafgreen,6,6,walk,
weedle,4,sinnoh-route-204-south-towards-jubilife-city,platinum,4,slot2-leafgreen,5,5,walk,
weedle,4,sinnoh-route-204-north-towards-floaroma-town,platinum,4,slot2-leafgreen,10,10,walk,
weedle,4,johto-route-30-area,silver,5,time-day,4,4,walk,
weedle,4,johto-route-30-area,crystal,5,time-morning,3,3,walk,
weedle,4,johto-route-30-area,soulsilver,1,time-day,4,4,walk,
weedle,4,johto-route-31-area,silver,5,time-day,5,5,walk,
weedle,4,johto-route-31-area,crystal,5,time-morning,4,4,walk,
weedle,4,johto-route-31-area,soulsilver,1,time-day,5,5,walk,
weedle,4,ilex-forest-area,soulsilver,10,"time-morning, radio-off",6,6,walk,
weedle,4,national-park-area,silver,20,time-morning,12,12,walk,
weedle,4,national-park-area,crystal,1,time-morning,10,10,walk,
weedle,4,national-park-area,soulsilver,10,"time-morning, radio-off",12,12,walk,
weedle,4,unknown-all-bugs-area,soulsilver,1,,14,14,walk,
weedle,4,kanto-route-2-south-towards-viridian-city,red,1,,5,5,walk,
weedle,4,kanto-route-2-south-towards-viridian-city,silver,30,time-morning,3,3,walk,
weedle,4,kanto-route-2-south-towards-viridian-city,firered,1,,5,5,walk,
weedle,4,kanto-route-2-south-towards-viridian-city,leafgreen,1,,5,5,walk,
weedle,4,kanto-route-2-south-towards-viridian-city,soulsilver,1,,4,4,walk,
weedle,4,kanto-route-24-area,red,20,,7,7,walk,
weedle,4,kanto-route-24-area,firered,20,,7,7,walk,
weedle,4,kanto-route-24-area,leafgreen,20,,7,7,walk,
weedle,4,kanto-route-25-area,red,20,,8,8,walk,
weedle,4,kanto-route-25-area,blue,1,,8,8,walk,
weedle,4,kanto-route-25-area,firered,20,,8,8,walk,
weedle,4,kanto-route-25-area,leafgreen,20,,8,8,walk,
weedle,4,kanto-route-2-north-towards-pewter-city,soulsilver,1,,4,4,walk,
weedle,4,viridian-forest-area,red,10,,5,5,walk,
weedle,4,viridian-forest-area,blue,5,,3,3,walk,
weedle,4,viridian-forest-area,firered,10,,3,3,walk,
weedle,4,viridian-forest-area,leafgreen,10,,3,3,walk,
weedle,4,viridian-forest-area,soulsilver,20,"swarm-no, time-day",3,3,walk,
weedle,4,pattern-bush-area,firered,10,,6,6,walk,
weedle,4,pattern-bush-area,leafgreen,10,,6,6,walk,
weedle,4,kalos-route-2-area,x,1,,4,4,walk,
weedle,4,santalune-forest-area,x,10,,3,3,walk,
weedle,4,santalune-forest-area,y,10,,2,2,walk,
kakuna,4,eterna-forest-area,diamond,4,slot2-leafgreen,12,12,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,eterna-forest-area,pearl,4,slot2-leafgreen,12,12,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,eterna-forest-area,platinum,4,slot2-leafgreen,13,13,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,johto-route-30-area,silver,1,time-day,5,5,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,johto-route-30-area,soulsilver,1,time-day,4,4,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,johto-route-31-area,silver,1,time-day,6,6,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,johto-route-31-area,soulsilver,1,time-day,5,5,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,ilex-forest-area,soulsilver,5,time-day,5,5,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,national-park-area,silver,30,time-morning,10,10,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,national-park-area,soulsilver,10,"time-day, radio-off",10,10,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,kanto-route-2-south-towards-viridian-city,silver,20,time-morning,5,5,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,kanto-route-2-south-towards-viridian-city,soulsilver,1,time-night,7,7,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,kanto-route-24-area,red,20,,8,8,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,kanto-route-24-area,firered,4,,8,8,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,kanto-route-24-area,leafgreen,1,,8,8,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,kanto-route-25-area,red,20,,9,9,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,kanto-route-25-area,blue,4,,7,7,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,kanto-route-25-area,firered,4,,9,9,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,kanto-route-25-area,leafgreen,1,,9,9,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,kanto-route-2-north-towards-pewter-city,soulsilver,1,time-night,7,7,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,viridian-forest-area,red,10,,6,6,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,viridian-forest-area,blue,5,,4,4,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,viridian-forest-area,firered,1,,6,6,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,viridian-forest-area,leafgreen,5,,5,5,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,viridian-forest-area,soulsilver,10,"time-day, radio-off",5,5,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,pattern-bush-area,firered,20,,9,9,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,pattern-bush-area,leafgreen,20,,9,9,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
kakuna,4,santalune-forest-area,x,4,,4,4,walk,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}"
beedrill,4,kanto-route-2-south-towards-viridian-city,silver,10,time-morning,7,7,walk,"{'name': 'kakuna', 'url': 'https://pokeapi.co/api/v2/pokemon-species/14/'}"
beedrill,4,kanto-route-2-south-towards-viridian-city,soulsilver,4,time-night,10,10,walk,"{'name': 'kakuna', 'url': 'https://pokeapi.co/api/v2/pokemon-species/14/'}"
beedrill,4,kanto-route-2-north-towards-pewter-city,soulsilver,4,time-night,10,10,walk,"{'name': 'kakuna', 'url': 'https://pokeapi.co/api/v2/pokemon-species/14/'}"
beedrill,4,viridian-forest-area,soulsilver,5,time-morning,7,7,walk,"{'name': 'kakuna', 'url': 'https://pokeapi.co/api/v2/pokemon-species/14/'}"
pidgey,4,sinnoh-route-229-area,diamond,20,swarm-yes,51,51,walk,
pidgey,4,sinnoh-route-229-area,pearl,20,swarm-yes,51,51,walk,
pidgey,4,sinnoh-route-229-area,platinum,5,,47,47,walk,
pidgey,4,johto-route-29-area,gold,1,time-morning,4,4,walk,
pidgey,4,johto-route-29-area,silver,1,time-morning,4,4,walk,
pidgey,4,johto-route-29-area,crystal,20,time-morning,3,3,walk,
pidgey,4,johto-route-29-area,heartgold,1,time-day,4,4,walk,
pidgey,4,johto-route-29-area,soulsilver,1,time-day,4,4,walk,
pidgey,4,johto-route-30-area,gold,1,time-morning,4,4,walk,
pidgey,4,johto-route-30-area,silver,1,time-morning,4,4,walk,
pidgey,4,johto-route-30-area,crystal,10,time-morning,4,4,walk,
pidgey,4,johto-route-30-area,heartgold,1,time-morning,4,4,walk,
pidgey,4,johto-route-30-area,soulsilver,1,time-morning,4,4,walk,
pidgey,4,johto-route-31-area,gold,30,time-morning,3,3,walk,
pidgey,4,johto-route-31-area,silver,1,time-morning,5,5,walk,
pidgey,4,johto-route-31-area,crystal,10,time-morning,5,5,walk,
pidgey,4,johto-route-31-area,heartgold,10,"time-day, radio-off",3,3,walk,
pidgey,4,johto-route-31-area,soulsilver,1,time-morning,5,5,walk,
pidgey,4,johto-route-32-area,crystal,5,time-morning,7,7,walk,
pidgey,4,ilex-forest-area,crystal,5,time-morning,7,7,walk,
pidgey,4,johto-route-34-area,crystal,20,time-morning,12,12,walk,
pidgey,4,johto-route-35-area,gold,5,swarm-yes,14,14,walk,
pidgey,4,johto-route-35-area,silver,5,swarm-yes,14,14,walk,
pidgey,4,johto-route-35-area,crystal,5,"swarm-yes, time-morning",14,14,walk,
pidgey,4,johto-route-35-area,heartgold,1,time-day,14,14,walk,
pidgey,4,johto-route-35-area,soulsilver,1,time-day,14,14,walk,
pidgey,4,national-park-area,gold,1,time-morning,14,14,walk,
pidgey,4,national-park-area,silver,1,time-morning,14,14,walk,
pidgey,4,national-park-area,crystal,10,time-morning,13,13,walk,
pidgey,4,national-park-area,heartgold,1,time-day,14,14,walk,
pidgey,4,national-park-area,soulsilver,1,time-day,14,14,walk,
pidgey,4,johto-route-36-area,gold,1,time-morning,15,15,walk,
pidgey,4,johto-route-36-area,silver,1,time-morning,15,15,walk,
pidgey,4,johto-route-36-area,crystal,1,time-day,6,6,walk,
pidgey,4,johto-route-36-area,heartgold,1,time-morning,15,15,walk,
pidgey,4,johto-route-36-area,soulsilver,1,time-morning,15,15,walk,
pidgey,4,johto-route-37-area,gold,1,time-morning,15,15,walk,
pidgey,4,johto-route-37-area,silver,20,time-morning,15,15,walk,
pidgey,4,johto-route-37-area,crystal,1,time-day,15,15,walk,
pidgey,4,johto-route-37-area,heartgold,1,time-morning,15,15,walk,
pidgey,4,johto-route-37-area,soulsilver,10,"time-day, radio-off",15,15,walk,
pidgey,4,kanto-route-12-area,red,5,,27,27,walk,
pidgey,4,kanto-route-12-area,blue,5,,27,27,walk,
pidgey,4,kanto-route-12-area,yellow,15,,28,28,walk,
pidgey,4,kanto-route-12-area,firered,1,,23,23,walk,
pidgey,4,kanto-route-12-area,leafgreen,1,,23,23,walk,
pidgey,4,kanto-route-1-area,red,1,,5,5,walk,
pidgey,4,kanto-route-1-area,blue,1,,5,5,walk,
pidgey,4,kanto-route-1-area,yellow,1,,7,7,walk,
pidgey,4,kanto-route-1-area,gold,1,time-day,4,4,walk,
pidgey,4,kanto-route-1-area,silver,1,time-morning,4,4,walk,
pidgey,4,kanto-route-1-area,crystal,1,time-morning,4,4,walk,
pidgey,4,kanto-route-1-area,firered,1,,5,5,walk,
pidgey,4,kanto-route-1-area,leafgreen,1,,5,5,walk,
pidgey,4,kanto-route-1-area,heartgold,1,time-day,4,4,walk,
pidgey,4,kanto-route-1-area,soulsilver,1,time-day,4,4,walk,
pidgey,4,kanto-route-2-south-towards-viridian-city,red,10,,5,5,walk,
pidgey,4,kanto-route-2-south-towards-viridian-city,blue,10,,5,5,walk,
pidgey,4,kanto-route-2-south-towards-viridian-city,yellow,1,,7,7,walk,
pidgey,4,kanto-route-2-south-towards-viridian-city,gold,10,time-day,7,7,walk,
pidgey,4,kanto-route-2-south-towards-viridian-city,silver,10,time-day,7,7,walk,
pidgey,4,kanto-route-2-south-towards-viridian-city,crystal,20,time-morning,5,5,walk,
pidgey,4,kanto-route-2-south-towards-viridian-city,firered,5,,5,5,walk,
pidgey,4,kanto-route-2-south-towards-viridian-city,leafgreen,5,,5,5,walk,
pidgey,4,kanto-route-2-south-towards-viridian-city,heartgold,5,time-day,8,8,walk,
pidgey,4,kanto-route-2-south-towards-viridian-city,soulsilver,5,time-day,7,7,walk,
pidgey,4,kanto-route-3-area,red,10,,8,8,walk,
pidgey,4,kanto-route-3-area,blue,10,,8,8,walk,
pidgey,4,kanto-route-3-area,firered,10,,7,7,walk,
pidgey,4,kanto-route-3-area,leafgreen,10,,7,7,walk,
pidgey,4,kanto-route-5-area,red,5,,16,16,walk,
pidgey,4,kanto-route-5-area,blue,5,,16,16,walk,
pidgey,4,kanto-route-5-area,yellow,10,,17,17,walk,
pidgey,4,kanto-route-5-area,gold,10,time-day,15,15,walk,
pidgey,4,kanto-route-5-area,silver,10,time-morning,15,15,walk,
pidgey,4,kanto-route-5-area,crystal,30,time-morning,13,13,walk,
pidgey,4,kanto-route-5-area,firered,1,,15,15,walk,
pidgey,4,kanto-route-5-area,leafgreen,1,,15,15,walk,
pidgey,4,kanto-route-5-area,heartgold,5,time-day,15,15,walk,
pidgey,4,kanto-route-5-area,soulsilver,5,time-day,15,15,walk,
pidgey,4,kanto-route-6-area,red,5,,16,16,walk,
pidgey,4,kanto-route-6-area,blue,5,,16,16,walk,
pidgey,4,kanto-route-6-area,yellow,10,,17,17,walk,
pidgey,4,kanto-route-6-area,gold,20,time-day,14,14,walk,
pidgey,4,kanto-route-6-area,silver,30,time-morning,13,13,walk,
pidgey,4,kanto-route-6-area,firered,1,,15,15,walk,
pidgey,4,kanto-route-6-area,leafgreen,1,,15,15,walk,
pidgey,4,kanto-route-6-area,heartgold,10,"time-day, radio-off",14,14,walk,
pidgey,4,kanto-route-6-area,soulsilver,10,"time-day, radio-off",13,13,walk,
pidgey,4,kanto-route-7-area,red,10,,22,22,walk,
pidgey,4,kanto-route-7-area,blue,10,,22,22,walk,
pidgey,4,kanto-route-7-area,yellow,20,,22,22,walk,
pidgey,4,kanto-route-7-area,firered,10,,22,22,walk,
pidgey,4,kanto-route-7-area,leafgreen,10,,22,22,walk,
pidgey,4,kanto-route-8-area,red,10,,20,20,walk,
pidgey,4,kanto-route-8-area,blue,10,,20,20,walk,
pidgey,4,kanto-route-8-area,yellow,20,,22,22,walk,
pidgey,4,kanto-route-8-area,firered,10,,20,20,walk,
pidgey,4,kanto-route-8-area,leafgreen,10,,20,20,walk,
pidgey,4,kanto-route-11-area,yellow,15,,18,18,walk,
pidgey,4,kanto-route-13-area,red,15,,27,27,walk,
pidgey,4,kanto-route-13-area,blue,15,,27,27,walk,
pidgey,4,kanto-route-13-area,yellow,10,,28,28,walk,
pidgey,4,kanto-route-13-area,firered,10,,25,25,walk,
pidgey,4,kanto-route-13-area,leafgreen,10,,25,25,walk,
pidgey,4,kanto-route-14-area,red,20,,26,26,walk,
pidgey,4,kanto-route-14-area,blue,20,,26,26,walk,
pidgey,4,kanto-route-14-area,firered,10,,27,27,walk,
pidgey,4,kanto-route-14-area,leafgreen,10,,27,27,walk,
pidgey,4,kanto-route-15-area,red,15,,23,23,walk,
pidgey,4,kanto-route-15-area,blue,15,,23,23,walk,
pidgey,4,kanto-route-15-area,firered,10,,25,25,walk,
pidgey,4,kanto-route-15-area,leafgreen,10,,25,25,walk,
pidgey,4,kanto-sea-route-21-area,red,10,,21,21,walk,
pidgey,4,kanto-sea-route-21-area,blue,10,,21,21,walk,
pidgey,4,kanto-sea-route-21-area,yellow,10,,17,17,walk,
pidgey,4,kanto-route-24-area,red,5,,13,13,walk,
pidgey,4,kanto-route-24-area,blue,5,,13,13,walk,
pidgey,4,kanto-route-24-area,yellow,4,,17,17,walk,
pidgey,4,kanto-route-24-area,firered,5,,13,13,walk,
pidgey,4,kanto-route-24-area,leafgreen,5,,13,13,walk,
pidgey,4,kanto-route-25-area,red,15,,13,13,walk,
pidgey,4,kanto-route-25-area,blue,15,,13,13,walk,
pidgey,4,kanto-route-25-area,yellow,4,,17,17,walk,
pidgey,4,kanto-route-25-area,gold,20,time-day,10,10,walk,
pidgey,4,kanto-route-25-area,silver,20,time-day,10,10,walk,
pidgey,4,kanto-route-25-area,crystal,30,time-morning,10,10,walk,
pidgey,4,kanto-route-25-area,firered,5,,11,11,walk,
pidgey,4,kanto-route-25-area,leafgreen,5,,11,11,walk,
pidgey,4,kanto-route-25-area,heartgold,10,"time-day, radio-off",8,8,walk,
pidgey,4,kanto-route-25-area,soulsilver,10,"time-day, radio-off",8,8,walk,
pidgey,4,kanto-route-2-north-towards-pewter-city,heartgold,10,"time-day, radio-off",5,5,walk,
pidgey,4,kanto-route-2-north-towards-pewter-city,soulsilver,5,time-day,7,7,walk,
pidgey,4,viridian-forest-area,yellow,4,,8,8,walk,
pidgey,4,viridian-forest-area,heartgold,5,time-day,7,7,walk,
pidgey,4,viridian-forest-area,soulsilver,5,time-day,7,7,walk,
pidgey,4,berry-forest-area,firered,10,,32,32,walk,
pidgey,4,berry-forest-area,leafgreen,10,,32,32,walk,
pidgey,4,bond-bridge-area,firered,10,,29,29,walk,
pidgey,4,bond-bridge-area,leafgreen,10,,29,29,walk,
pidgey,4,five-isle-meadow-area,firered,20,,44,44,walk,
pidgey,4,five-isle-meadow-area,leafgreen,20,,44,44,walk,
pidgey,4,kalos-route-2-area,x,4,,4,4,walk,
pidgey,4,kalos-route-2-area,y,4,,4,4,walk,
pidgey,4,kalos-route-3-area,x,10,,4,4,walk,
pidgey,4,kalos-route-3-area,y,10,,4,4,walk,
pidgey,4,johto-safari-zone-zone-forest,heartgold,10,time-day,17,17,walk,
pidgey,4,johto-safari-zone-zone-forest,soulsilver,10,time-day,17,17,walk,
pidgeotto,4,johto-route-37-area,gold,5,time-day,15,15,walk,"{'name': 'pidgey', 'url': 'https://pokeapi.co/api/v2/pokemon-species/16/'}"
pidgeotto,4,johto-route-37-area,silver,5,time-day,15,15,walk,"{'name': 'pidgey', 'url': 'https://pokeapi.co/api/v2/pokemon-species/16/'}"
pidgeotto,4,johto-route-37-area,crystal,5,time-morning,15,15,walk,"{'name': 'pidgey', 'url': 'https://pokeapi.co/api/v2/pokemon-species/16/'}"
